disease_key,disease,symptoms,cures,doctor,risk_level,fever,cough,fatigue,difficulty_breathing,age,gender,blood_pressure,cholesterol_level,outcome_variable
acanthamoebkeratitis,acanthamoebkeratitis,"pain,redness,inflammation in the eye","antibiotics,antifungals,surgery",ophthalmologist ,low (0.1%,,,,,,,,,
acne,,,,,,False,False,True,False,40.0,Male,Normal,Normal,Negative
acute appendicitis,acute appendicitis,"pain in the lower right abdomen,nausea,vomiting,fever",appendectomy,surgeon,high (20%),,,,,,,,,
acute kidney injury,acute kidney injury (aki) ,decreased kidney function,"treatment for the underlying cause,such as dehydration,infection,medication side effect ",nephrologist ,varies,,,,,,,,,
adenovirus,adenovirus,"fever,sore throat,cough,conjunctivitis,rash,pink eye","antibiotics,over-the-counter medications,rest,fluids","family doctor,urgent care",low (0.1%),,,,,,,,,
aflatoxicosis,aflatoxicosis,"vomiting,diarrhea,jaundice,liver damage,death","there is no cure for aflatoxicosis,but treatment may include supportive care,liver transplantation",gastroenterologist,high (70%),,,,,,,,,
alcoholism,alcoholism,"physical dependence on alcohol,tolerance to alcohol,withdrawal symptoms,impaired judgment,memory problems,liver damage,heart disease,cancer"," treatment for alcoholism may include counseling,medication,support groups"," psychiatrist,addiction specialist",high (25%),,,,,,,,,
allergic rhinitis,allergic rhinitis,"runny nose,sneezing,itchy eyes,itchy nose,throat,palate","over-the-counter medications,allergy shots",allergist,low (0.1%),False,True,True,False,29.0,Female,Normal,Low,Negative
alzheimer s,alzheimer's disease,"memory loss,confusion,difficulty thinking,changes in personality or behavior","there is no cure for alzheimer's disease,but there are treatments that can help manage the symptoms",neurologist,high (70%),False,True,False,False,65.0,Male,Normal,High,Positive
anemia,anemia,"fatigue,shortness of breath,pale skin,lightheadedness,dizziness", , hematologist ,varies depending on the type of anemia,False,False,True,False,50.0,Male,Normal,Normal,Negative
anxiety disorders,anxiety disorder,"excessive worry,fear,anxiety that interfere with daily life","treatment for anxiety disorders may include therapy,medication,combination of both","psychologist,psychiatrist",varies depending on the type of anxiety disorder,False,True,False,False,29.0,Female,Normal,High,Negative
aortic aneurysm,aortic aneurysm,"bulge in the wall of the aorta,the largest artery in the body",surgery,vascular surgeon,high (20%),,,,,,,,,
appendicitis,appendicitis,"pain in the lower right abdomen,nausea,vomiting,fever",appendectomy,surgeon ,high (20%),True,False,True,False,55.0,Male,Normal,Normal,Negative
arthritis,arthritis,"pain,stiffness,swelling,inflammation in the joints","medication,physical therapy,lifestyle changes",rheumatologist,varies depending on the type of arthritis,,,,,,,,,
asperger syndrome,asperger syndrome,"difficulty with social interaction,repetitive behaviors,restricted interests","there is no cure for asperger syndrome,but there are treatments that can help manage the symptoms","psychologist,psychiatrist",varies,,,,,,,,,
asthma,asthma,"wheezing,shortness of breath,coughing,chest tightness","treatment for asthmmay include medication,lifestyle changes,allergy shots"," allergist,pulmonologist",varies,True,True,False,True,25.0,Male,Normal,Normal,Positive
atherosclerosis,,,,,,False,False,True,False,35.0,Male,Normal,Normal,Negative
atopic dermatitis,atopic dermatitis,"itchy,red,inflamed skin","medication,lifestyle changes", dermatologist,varies,,,,,,,,,
autism spectrum disorder,,,,,,False,False,True,False,45.0,Male,Normal,Normal,Negative
bacterial meningitis,bacterial meningitis,"fever,headache,stiff neck,nausea,vomiting,sensitivity to light",antibiotics,"neurologist,neurosurgeon",high (20%),,,,,,,,,
bipolar disorder,bipolar disorder,"extreme mood swings,from manito depression","treatment for bipolar disorder may include medication,therapy,combination of both"," psychologist,psychiatrist",varies,False,False,True,False,30.0,Female,High,High,Positive
bladder cancer,bladder cancer,"blood in the urine,pain or burning when urinating,frequent urination,urgency to urinate,incontinence","surgery,chemotherapy,radiation therapy",urologist,high (70%),False,False,True,False,65.0,Male,Normal,Normal,Negative
blood clot,blood clot,"pain,swelling,redness,warmth,tenderness in the affected area,shortness of breath,chest pain,difficulty breathing,coughing up blood","treatment for blood clot may include medication,surgery,combination of both","cardiologist,hematologist",high (20%),,,,,,,,,
